Unnamed: 0,codigo_def,categorias,codigo,clasificacion
85.0,B27,Enfermedades infecciosas y parasitarias ,,
86.0,B30,Enfermedades infecciosas y parasitarias ,,
87.0,B33,Enfermedades infecciosas y parasitarias ,,
88.0,B34,Enfermedades infecciosas y parasitarias ,,
89.0,B35,Enfermedades infecciosas y parasitarias ,,
90.0,B36,Enfermedades infecciosas y parasitarias ,,
91.0,B37,Enfermedades infecciosas y parasitarias ,,
92.0,B38,Enfermedades infecciosas y parasitarias ,,
93.0,B39,Enfermedades infecciosas y parasitarias ,,
94.0,B40,Enfermedades infecciosas y parasitarias ,,
95.0,B41,Enfermedades infecciosas y parasitarias ,,
96.0,B42,Enfermedades infecciosas y parasitarias ,,
97.0,B43,Enfermedades infecciosas y parasitarias ,,
98.0,B44,Enfermedades infecciosas y parasitarias ,,
99.0,B45,Enfermedades infecciosas y parasitarias ,,
100.0,B46,Enfermedades infecciosas y parasitarias ,,
101.0,B48,Enfermedades infecciosas y parasitarias ,,
102.0,B49,Enfermedades infecciosas y parasitarias ,,
103.0,B54,Enfermedades infecciosas y parasitarias ,,
104.0,B55,Enfermedades infecciosas y parasitarias ,,
105.0,B56,Enfermedades infecciosas y parasitarias ,,
106.0,B57,Enfermedades infecciosas y parasitarias ,,
107.0,B58,Enfermedades infecciosas y parasitarias ,,
108.0,B59,Enfermedades infecciosas y parasitarias ,,
109.0,B60,Enfermedades infecciosas y parasitarias ,,
110.0,B64,Enfermedades infecciosas y parasitarias ,,
111.0,B66,Enfermedades infecciosas y parasitarias ,,
112.0,B67,Enfermedades infecciosas y parasitarias ,,
113.0,B69,Enfermedades infecciosas y parasitarias ,,
114.0,B74,Enfermedades infecciosas y parasitarias ,,
115.0,B75,Enfermedades infecciosas y parasitarias ,,
116.0,B76,Enfermedades infecciosas y parasitarias ,,
117.0,B77,Enfermedades infecciosas y parasitarias ,,
118.0,B78,Enfermedades infecciosas y parasitarias ,,
119.0,B82,Enfermedades infecciosas y parasitarias ,,
120.0,B83,Enfermedades infecciosas y parasitarias ,,
121.0,B86,Enfermedades infecciosas y parasitarias ,,
122.0,B87,Enfermedades infecciosas y parasitarias ,,
123.0,B88,Enfermedades infecciosas y parasitarias ,,
124.0,B89,Enfermedades infecciosas y parasitarias ,,
125.0,B90,Enfermedades infecciosas y parasitarias ,,
126.0,B91,Enfermedades infecciosas y parasitarias ,,
127.0,B92,Enfermedades infecciosas y parasitarias ,,
128.0,B94,Enfermedades infecciosas y parasitarias ,,
129.0,B99,Enfermedades infecciosas y parasitarias ,,
130.0,C00,Tumores ,,
131.0,C01,Tumores ,,
132.0,C02,Tumores ,,
133.0,C03,Tumores ,,
134.0,C04,Tumores ,,
135.0,C05,Tumores ,,
136.0,C06,Tumores ,,
137.0,C07,Tumores ,,
138.0,C08,Tumores ,,
139.0,C09,Tumores ,,
140.0,C10,Tumores ,,
141.0,C11,Tumores ,,
142.0,C12,Tumores ,,
143.0,C13,Tumores ,,
144.0,C14,Tumores ,,
145.0,C15,Tumores ,,
146.0,C16,Tumores ,,
147.0,C17,Tumores ,,
148.0,C18,Tumores ,,
149.0,C19,Tumores ,,
150.0,C20,Tumores ,,
151.0,C21,Tumores ,,
152.0,C22,Tumores ,,
153.0,C23,Tumores ,,
154.0,C24,Tumores ,,
155.0,C25,Tumores ,,
156.0,C26,Tumores ,,
157.0,C30,Tumores ,,
158.0,C31,Tumores ,,
159.0,C32,Tumores ,,
160.0,C33,Tumores ,,
161.0,C34,Tumores ,,
162.0,C37,Tumores ,,
163.0,C38,Tumores ,,
164.0,C39,Tumores ,,
165.0,C40,Tumores ,,
166.0,C41,Tumores ,,
167.0,C43,Tumores ,,
168.0,C44,Tumores ,,
169.0,C45,Tumores ,,
170.0,C46,Tumores ,,
171.0,C47,Tumores ,,
172.0,C48,Tumores ,,
173.0,C49,Tumores ,,
174.0,C50,Tumores ,,
175.0,C51,Tumores ,,
176.0,C52,Tumores ,,
177.0,C53,Tumores ,,
178.0,C54,Tumores ,,
179.0,C55,Tumores ,,
180.0,C56,Tumores ,,
181.0,C57,Tumores ,,
182.0,C58,Tumores ,,
183.0,C60,Tumores ,,
184.0,C61,Tumores ,,
185.0,C62,Tumores ,,
186.0,C63,Tumores ,,
187.0,C64,Tumores ,,
188.0,C65,Tumores ,,
189.0,C66,Tumores ,,
190.0,C67,Tumores ,,
191.0,C68,Tumores ,,
192.0,C69,Tumores ,,
193.0,C70,Tumores ,,
194.0,C71,Tumores ,,
195.0,C72,Tumores ,,
196.0,C73,Tumores ,,
197.0,C74,Tumores ,,
198.0,C75,Tumores ,,
199.0,C76,Tumores ,,
200.0,C77,Tumores ,,
201.0,C78,Tumores ,,
202.0,C79,Tumores ,,
203.0,C80,Tumores ,,
204.0,C81,Tumores ,,
205.0,C82,Tumores ,,
206.0,C83,Tumores ,,
207.0,C84,Tumores ,,
208.0,C85,Tumores ,,
209.0,C86,Tumores ,,
210.0,C88,Tumores ,,
211.0,C90,Tumores ,,
212.0,C91,Tumores ,,
213.0,C92,Tumores ,,
214.0,C93,Tumores ,,
215.0,C94,Tumores ,,
216.0,C95,Tumores ,,
217.0,C96,Tumores ,,
218.0,C97,Tumores ,,
219.0,D00,Tumores ,,
220.0,D01,Tumores ,,
221.0,D02,Tumores ,,
222.0,D03,Tumores ,,
223.0,D04,Tumores ,,
224.0,D05,Tumores ,,
225.0,D06,Tumores ,,
226.0,D07,Tumores ,,
227.0,D09,Tumores ,,
228.0,D10,Tumores ,,
229.0,D11,Tumores ,,
230.0,D12,Tumores ,,
231.0,D13,Tumores ,,
232.0,D14,Tumores ,,
233.0,D15,Tumores ,,
234.0,D16,Tumores ,,
235.0,D17,Tumores ,,
236.0,D18,Tumores ,,
237.0,D19,Tumores ,,
238.0,D20,Tumores ,,
239.0,D21,Tumores ,,
240.0,D22,Tumores ,,
241.0,D23,Tumores ,,
242.0,D24,Tumores ,,
243.0,D25,Tumores ,,
244.0,D26,Tumores ,,
245.0,D27,Tumores ,,
246.0,D28,Tumores ,,
247.0,D29,Tumores ,,
248.0,D30,Tumores ,,
249.0,D31,Tumores ,,
250.0,D32,Tumores ,,
251.0,D33,Tumores ,,
252.0,D34,Tumores ,,
253.0,D35,Tumores ,,
254.0,D36,Tumores ,,
255.0,D37,Tumores ,,
256.0,D38,Tumores ,,
257.0,D39,Tumores ,,
258.0,D40,Tumores ,,
259.0,D41,Tumores ,,
260.0,D42,Tumores ,,
261.0,D43,Tumores ,,
262.0,D44,Tumores ,,
263.0,D45,Tumores ,,
264.0,D46,Tumores ,,
265.0,D47,Tumores ,,
266.0,D48,Tumores ,,
267.0,D50,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
268.0,D51,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
269.0,D52,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
270.0,D53,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
271.0,D55,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
272.0,D56,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
273.0,D57,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
274.0,D58,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
275.0,D59,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
276.0,D60,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
277.0,D61,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
278.0,D62,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
279.0,D64,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
280.0,D65,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
281.0,D66,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
282.0,D67,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
283.0,D68,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
284.0,D69,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
285.0,D70,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
286.0,D71,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
287.0,D72,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
288.0,D73,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
289.0,D74,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
290.0,D75,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
291.0,D76,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
292.0,D80,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
293.0,D81,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
294.0,D82,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
295.0,D83,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
296.0,D84,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
297.0,D86,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
298.0,D89,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad ",,
299.0,E00,"Enfermedades endocrinas, nutricionales y metabólicas ",,
300.0,E01,"Enfermedades endocrinas, nutricionales y metabólicas ",,
301.0,E03,"Enfermedades endocrinas, nutricionales y metabólicas ",,
302.0,E04,"Enfermedades endocrinas, nutricionales y metabólicas ",,
303.0,E05,"Enfermedades endocrinas, nutricionales y metabólicas ",,
304.0,E06,"Enfermedades endocrinas, nutricionales y metabólicas ",,
305.0,E07,"Enfermedades endocrinas, nutricionales y metabólicas ",,
306.0,E10,"Enfermedades endocrinas, nutricionales y metabólicas ",,
307.0,E11,"Enfermedades endocrinas, nutricionales y metabólicas ",,
308.0,E12,"Enfermedades endocrinas, nutricionales y metabólicas ",,
309.0,E13,"Enfermedades endocrinas, nutricionales y metabólicas ",,
310.0,E14,"Enfermedades endocrinas, nutricionales y metabólicas ",,
311.0,E15,"Enfermedades endocrinas, nutricionales y metabólicas ",,
312.0,E16,"Enfermedades endocrinas, nutricionales y metabólicas ",,
313.0,E20,"Enfermedades endocrinas, nutricionales y metabólicas ",,
314.0,E21,"Enfermedades endocrinas, nutricionales y metabólicas ",,
315.0,E22,"Enfermedades endocrinas, nutricionales y metabólicas ",,
316.0,E23,"Enfermedades endocrinas, nutricionales y metabólicas ",,
317.0,E24,"Enfermedades endocrinas, nutricionales y metabólicas ",,
318.0,E25,"Enfermedades endocrinas, nutricionales y metabólicas ",,
319.0,E26,"Enfermedades endocrinas, nutricionales y metabólicas ",,
320.0,E27,"Enfermedades endocrinas, nutricionales y metabólicas ",,
321.0,E28,"Enfermedades endocrinas, nutricionales y metabólicas ",,
322.0,E30,"Enfermedades endocrinas, nutricionales y metabólicas ",,
323.0,E31,"Enfermedades endocrinas, nutricionales y metabólicas ",,
324.0,E32,"Enfermedades endocrinas, nutricionales y metabólicas ",,
325.0,E34,"Enfermedades endocrinas, nutricionales y metabólicas ",,
326.0,E40,"Enfermedades endocrinas, nutricionales y metabólicas ",,
327.0,E41,"Enfermedades endocrinas, nutricionales y metabólicas ",,
328.0,E42,"Enfermedades endocrinas, nutricionales y metabólicas ",,
329.0,E43,"Enfermedades endocrinas, nutricionales y metabólicas ",,
330.0,E44,"Enfermedades endocrinas, nutricionales y metabólicas ",,
331.0,E45,"Enfermedades endocrinas, nutricionales y metabólicas ",,
332.0,E46,"Enfermedades endocrinas, nutricionales y metabólicas ",,
333.0,E50,"Enfermedades endocrinas, nutricionales y metabólicas ",,
334.0,E51,"Enfermedades endocrinas, nutricionales y metabólicas ",,
335.0,E52,"Enfermedades endocrinas, nutricionales y metabólicas ",,
336.0,E53,"Enfermedades endocrinas, nutricionales y metabólicas ",,
337.0,E55,"Enfermedades endocrinas, nutricionales y metabólicas ",,
338.0,E56,"Enfermedades endocrinas, nutricionales y metabólicas ",,
339.0,E61,"Enfermedades endocrinas, nutricionales y metabólicas ",,
340.0,E63,"Enfermedades endocrinas, nutricionales y metabólicas ",,
341.0,E64,"Enfermedades endocrinas, nutricionales y metabólicas ",,
342.0,E66,"Enfermedades endocrinas, nutricionales y metabólicas ",,
343.0,E67,"Enfermedades endocrinas, nutricionales y metabólicas ",,
344.0,E70,"Enfermedades endocrinas, nutricionales y metabólicas ",,
345.0,E71,"Enfermedades endocrinas, nutricionales y metabólicas ",,
346.0,E72,"Enfermedades endocrinas, nutricionales y metabólicas ",,
347.0,E74,"Enfermedades endocrinas, nutricionales y metabólicas ",,
348.0,E75,"Enfermedades endocrinas, nutricionales y metabólicas ",,
349.0,E76,"Enfermedades endocrinas, nutricionales y metabólicas ",,
350.0,E77,"Enfermedades endocrinas, nutricionales y metabólicas ",,
351.0,E78,"Enfermedades endocrinas, nutricionales y metabólicas ",,
352.0,E79,"Enfermedades endocrinas, nutricionales y metabólicas ",,
353.0,E80,"Enfermedades endocrinas, nutricionales y metabólicas ",,
354.0,E83,"Enfermedades endocrinas, nutricionales y metabólicas ",,
355.0,E84,"Enfermedades endocrinas, nutricionales y metabólicas ",,
356.0,E85,"Enfermedades endocrinas, nutricionales y metabólicas ",,
357.0,E86,"Enfermedades endocrinas, nutricionales y metabólicas ",,
358.0,E87,"Enfermedades endocrinas, nutricionales y metabólicas ",,
359.0,E88,"Enfermedades endocrinas, nutricionales y metabólicas ",,
360.0,F01,Trastornos mentales,,
361.0,F03,Trastornos mentales,,
362.0,F04,Trastornos mentales,,
363.0,F05,Trastornos mentales,,
364.0,F06,Trastornos mentales,,
365.0,F07,Trastornos mentales,,
366.0,F09,Trastornos mentales,,
367.0,F10,Trastornos mentales,,
368.0,F11,Trastornos mentales,,
369.0,F12,Trastornos mentales,,
370.0,F13,Trastornos mentales,,
371.0,F14,Trastornos mentales,,
372.0,F16,Trastornos mentales,,
373.0,F17,Trastornos mentales,,
374.0,F18,Trastornos mentales,,
375.0,F19,Trastornos mentales,,
376.0,F20,Trastornos mentales,,
377.0,F21,Trastornos mentales,,
378.0,F22,Trastornos mentales,,
379.0,F23,Trastornos mentales,,
380.0,F25,Trastornos mentales,,
381.0,F28,Trastornos mentales,,
382.0,F29,Trastornos mentales,,
383.0,F30,Trastornos mentales,,
384.0,F31,Trastornos mentales,,
385.0,F32,Trastornos mentales,,
386.0,F33,Trastornos mentales,,
387.0,F34,Trastornos mentales,,
388.0,F38,Trastornos mentales,,
389.0,F39,Trastornos mentales,,
390.0,F40,Trastornos mentales,,
391.0,F41,Trastornos mentales,,
392.0,F42,Trastornos mentales,,
393.0,F43,Trastornos mentales,,
394.0,F44,Trastornos mentales,,
395.0,F45,Trastornos mentales,,
396.0,F48,Trastornos mentales,,
397.0,F50,Trastornos mentales,,
398.0,F51,Trastornos mentales,,
399.0,F60,Trastornos mentales,,
400.0,F62,Trastornos mentales,,
401.0,F65,Trastornos mentales,,
402.0,F66,Trastornos mentales,,
403.0,F68,Trastornos mentales,,
404.0,F70,Trastornos mentales,,
405.0,F71,Trastornos mentales,,
406.0,F72,Trastornos mentales,,
407.0,F73,Trastornos mentales,,
408.0,F78,Trastornos mentales,,
409.0,F79,Trastornos mentales,,
410.0,F82,Trastornos mentales,,
411.0,F84,Trastornos mentales,,
412.0,F89,Trastornos mentales,,
413.0,F99,Trastornos mentales,,
414.0,G00,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
415.0,G03,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
416.0,G04,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
417.0,G06,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
418.0,G08,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
419.0,G09,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
420.0,G10,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
421.0,G11,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
422.0,G12,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
423.0,G20,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
424.0,G21,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
425.0,G23,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
426.0,G24,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
427.0,G25,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
428.0,G30,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
429.0,G31,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
430.0,G35,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
431.0,G36,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
432.0,G37,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
433.0,G40,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
434.0,G41,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
435.0,G43,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
436.0,G44,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
437.0,G45,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
438.0,G47,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
439.0,G50,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
440.0,G51,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
441.0,G52,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
442.0,G54,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
443.0,G56,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
444.0,G57,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
445.0,G58,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
446.0,G60,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
447.0,G61,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
448.0,G62,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
449.0,G64,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
450.0,G70,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
451.0,G71,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
452.0,G72,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
453.0,G80,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
454.0,G81,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
455.0,G82,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
456.0,G83,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
457.0,G90,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
458.0,G91,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
459.0,G92,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
460.0,G93,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
461.0,G95,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
462.0,G96,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
463.0,G98,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
464.0,H04,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
465.0,H05,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
466.0,H11,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
467.0,H15,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
468.0,H16,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
469.0,H18,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
470.0,H20,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
471.0,H31,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
472.0,H44,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
473.0,H49,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
474.0,H60,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
475.0,H65,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
476.0,H66,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
477.0,H70,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
478.0,H72,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
479.0,H81,Enfermedades del sistema nervioso y de los órganos de los sentidos  ,,
480.0,I00,Enfermedades del aparato circulatorio,,
481.0,I01,Enfermedades del aparato circulatorio,,
482.0,I02,Enfermedades del aparato circulatorio,,
483.0,I05,Enfermedades del aparato circulatorio,,
484.0,I06,Enfermedades del aparato circulatorio,,
485.0,I07,Enfermedades del aparato circulatorio,,
486.0,I08,Enfermedades del aparato circulatorio,,
487.0,I09,Enfermedades del aparato circulatorio,,
488.0,I10,Enfermedades del aparato circulatorio,,
489.0,I11,Enfermedades del aparato circulatorio,,
490.0,I12,Enfermedades del aparato circulatorio,,
491.0,I13,Enfermedades del aparato circulatorio,,
492.0,I15,Enfermedades del aparato circulatorio,,
493.0,I20,Enfermedades del aparato circulatorio,,
494.0,I21,Enfermedades del aparato circulatorio,,
495.0,I22,Enfermedades del aparato circulatorio,,
496.0,I24,Enfermedades del aparato circulatorio,,
497.0,I25,Enfermedades del aparato circulatorio,,
498.0,I26,Enfermedades del aparato circulatorio,,
499.0,I27,Enfermedades del aparato circulatorio,,
500.0,I28,Enfermedades del aparato circulatorio,,
501.0,I30,Enfermedades del aparato circulatorio,,
